Nom,Date_de_naissance,Sexe,Adresse,E-mail,Numéro_de_téléphone,Job
André Benard de Ferrand,1936-12-04,Masculin,"DONGA,DJOUGOU,BOUGOU,BOUGOU FANA carré 1964",andrébenarddeferrand@gmail.com,+22968867409,matelot de la Marine Nationale
Michelle Prévost,1985-09-07,Masculin,"ALIBORI,SEGBANA,LIBANTE,SAONZI carré 2772",michelleprévost@gmail.com,+22999297823,sellier
Michel Bouchet,1946-10-23,Masculin,"ATLANTIQUE,ZE,DAWE,AKADJAME carré 4037",michelbouchet@gmail.com,+22950963676,matelot à la pêche
Jean Laporte,1949-12-15,Féminin,"ZOU,ZA-KPOTA,ASSANLIN,ASSANLIN carré 3214",jeanlaporte@gmail.com,+22999415088,ingénieur de recherche (papiers cartons)
Franck Letellier,1982-12-03,Masculin,"ALIBORI,GOGOUNOU,GOUNAROU,BORO carré 8627",franckletellier@gmail.com,+22954383207,développeur d'applications mobiles
Andrée-Thérèse Mendès,1984-09-28,Masculin,"COLLINES,OUESSE,TOUI,TOUI-GARE carré 8566",andrée-thérèsemendès@gmail.com,+22956869475,chef de station de traitement des eaux
Franck Cordier,1963-07-24,Masculin,"OUEME,AKPRO-MISSERETE,VAKON,DANTO LES PALMIERS carré 4943",franckcordier@gmail.com,+22950414887,ingénieur combustion et brûleurs
Thierry Albert,2005-09-26,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,ABOMEY-CALAVI,AGAMANDIN carré 3850",,,
Thomas Dupont,2012-08-02,Masculin,"ZOU,ZOGBODOMEY,ZOGBODOMEY CENTRE,DOVOGON carré 0790",,,
Nathalie de la Letellier,1934-08-31,Masculin,"ALIBORI,GOGOUNOU,SORI,SORI-BORO WANROU carré 2539",nathaliedelaletellier@gmail.com,+22995969443,juge des enfants
Corinne Roussel,1983-05-14,Masculin,"OUEME,SEME-PODJI,EKPE,EKPE KANHONNOU carré 8235",corinneroussel@gmail.com,+22999700940,ingénieur textile
Zoé Allard de la Maurice,2001-12-24,Féminin,"LITTORAL,COTONOU,4EME ARRONDISSEMENT,GBEDJEWIN carré 4074",zoéallarddelamaurice@gmail.com,+22952698134,facteur d'instruments
Sébastien Boutin,2014-02-07,Masculin,"ZOU,DJIDJA,MONSOUROU,LOBETA carré 8896",,,
Hélène de la Gérard,1995-12-06,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,KPANROUN,KPAVIEDJA carré 4753",hélènedelagérard@gmail.com,+22953617554,hôte d'accueil
Stéphane Caron,1950-10-16,Masculin,"ZOU,ABOMEY,HOUNLI,GBEKON HOUNLI carré 1388",stéphanecaron@gmail.com,+22994798366,gestionnaire de patrimoine
Jeanne Adam-Lacroix,2008-10-11,Masculin,"BORGOU,NIKKI,BIRO,OURAROU carré 3424",,,
Emmanuel Grégoire,2001-10-12,Féminin,"COUFFO,DJAKOTOMEY,GOHOMEY,HAGOUMEY CENTRE carré 1819",emmanuelgrégoire@gmail.com,+22968781069,vitrailliste
Amélie Sanchez,1987-10-02,Masculin,"DONGA,COPARGO,SINGRE,KARHUM-MALERO carré 3845",améliesanchez@gmail.com,+22953083314,cogniticien
Pauline Renard Le Delattre,2021-09-20,Féminin,"BORGOU,PARAKOU,3EME ARRONDISSEMENT,DOKPAROU carré 0653",,,
Benoît-David Gonzalez,1950-11-08,Masculin,"COUFFO,DOGBO,TOTA,FONCOME TETEHOUE carré 6066",benoît-davidgonzalez@gmail.com,+22964204843,décolleteur
Sophie-Anouk Boulanger,1956-11-17,Masculin,"OUEME,SEME-PODJI,AGBLANGANDAN,SEKANDJI ALLAMANDOSSI carré 5075",sophie-anoukboulanger@gmail.com,+22995665008,conseiller en insertion sociale et professionnelle
Michèle Wagner,1989-01-29,Masculin,"COUFFO,APLAHOUE,AZOVE,AZOVE CENTRE carré 4412",michèlewagner@gmail.com,+22998598847,géomètre-topographe
Inès Le Mahe,1962-08-05,Féminin,"MONO,COME,COME,DJACOTE carré 5634",inèslemahe@gmail.com,+22998418150,ingénieur en fonderie
Philippe Pinto,1981-01-21,Féminin,"LITTORAL,COTONOU,12EME ARRONDISSEMENT,FIDJROSSE CENTRE carré 2558",philippepinto@gmail.com,+22964357230,expert en sécurité informatique
Olivier Delorme,1975-05-22,Féminin,"COUFFO,DJAKOTOMEY,KINKINHOUE,SEGBEHOUE carré 4582",olivierdelorme@gmail.com,+22968846295,diagnostiqueur immobilier
Bernard Delorme du Payet,1995-12-02,Masculin,"MONO,BOPA,LOBOGO,AGONGOH carré 4677",bernarddelormedupayet@gmail.com,+22962003604,facteur d'instruments
Patricia Michaud,1989-02-22,Masculin,"ATLANTIQUE,ABOMEY-CALAVI,GOLO-DJIGBE,YEKON-DO carré 6419",patriciamichaud@gmail.com,+22965168589,ingénieur technico-commercial technico-commerciale en électronique
Bertrand Besson,2011-04-24,Masculin,"PLATEAU,ADJA-OUERE,ADJA-OUERE,OKOFFIN carré 0423",,,
Hélène Perret,2014-07-21,Masculin,"LITTORAL,COTONOU,11EME ARRONDISSEMENT,VODJE ALLOBATIN carré 0539",,,
Léon Bernard,1936-03-30,Masculin,"ATLANTIQUE,ZE,YOKPO,WAWATA-DANDJI carré 9267",léonbernard@gmail.com,+22996538431,secrétaire d'édition
Honoré Pascal,1990-04-10,Masculin,"BORGOU,PARAKOU,3EME ARRONDISSEMENT,AMANWIGNON carré 3392",honorépascal@gmail.com,+22996010539,ingénieur plasturgiste
